review,sentiment
"This film is great. All the hi-tech machinery and technology is mind-boggling. It is packed with action, humour and not to mention, guys. You will want to see it again and again. Very very funny. Also, it has a very unique plot which is unpredictable. You wouldn't want to miss out on it.",1
"This film is mesmerizing in its beauty and creativity. An artist's profound vision, his art that springs intuitively from its natural source brings us an inspiring Hosanna, blending his creations with trees, white water dashing against rocks, fields and rain...Andy Goldsworthy makes the viewer feel joy in being alive, aware that we are all made of the clay of this glorious earth. He doesn't spare us his occasional frustration, but on the whole we see the miracle in joining art with nature. Credit also goes of course to the filmmaker, Thomas Riedelsheimer, who directed, photographed and edited the movie with incredible sensibility and perfect timing.<br /><br />If you have any feeling for beauty, nature and art...do not miss this fantastic film!",1
"I guess you have to give some points for the sheer courage of writing a musical around a history lesson but how about some decent music? <br /><br />Is the cartoonish acting of Howard DeSilva meant to pique the interest of otherwise jaded children? <br /><br />Is William Daniels' campy contemporary (for the time) acting style meant to appeal to a 1960s/70s demographic? <br /><br />Do we need all the ""in-jokes"" about NY & NJ? (I can hear the blue-haired Broadway audience guffawing on cue.) <br /><br />Sorry, I find the whole piece dated, boring & the acting far too strident for the screen",0
"I can't honestly believe that this is a sequel or follow up of John Landis classic comedy horror movie from 1981 . I suppose you can't really describe it as an original werewolf movie either since the bare bones of the story steal elements from the one set in London: An American tourist visits a famous European capital , he narrowly survives a werewolf attack that kills a colleague , he embarks ( Pardon the pun ) on a sexual relationship with someone in the medical profession , he turns into a werewolf , he's visited by apparitions of his dead victims , etc etc . and reading the previous line I've just discovered how much the storyline has in common with the original that it seems very similar indeed . The difference lies in how enjoyable and entertaining the Landis movie is <br /><br />With this Paris based movie there's no scenes that really stand out . There's no naked man waking up in a zoo wondering how he's going to get back home with no money or clothes , there's no bizarre dream sequence of Naziwerewolves and there's no spectacular climax . AAWIP does try to be funny but is there anything more embarrassing than failed humour ? I'm thinking of the scene where Andy McDermott has to convince someone he's got chewing gum in his pocket and not condoms ! Perhaps the biggest difference between the two movies is that there's no poignancy involved with this dubious follow up . You really do feel sorry for the protagonist's fate and dilemma in the London movie , here you just feel Andy is nothing more than a cypher going through the literary motions of a script . There's also a large number of plot holes visible . Is this the first time The Lunar Club have carried out a massacre ? If not then aren't large numbers of corpses with their hearts torn out been reported in the world's press ? Why haven't the police got leads ?<br /><br />Everyone else has mentioned it and so will I - The visuals are poor . Look at the bungee jumping scene at The Eifell Tower , it's painfully obvious that it's achieved via some blue screen projection while the werewolf transformation is done by some very cartoonish CGI . I won't put Anthony Waller in the same bracket as Stephen Sommers as a director who totally ruins a movie because of an over reliance on CGI ( The major problem with AAWIP is the screenplay coupled with a high degree of expectation from those who saw the 1981 movie classic ) but I would have preferred the Rick Baker type special effects used for the transformation . To be fair it's reasonable to speculate that perhaps the budget didn't stretch that far . But at the end of the day this is a fairly poor horror movie that didn't need to be made and DOG SOLDIERS is much better entertainment",0
"In this Muppet movie, Kermit, Miss Piggy, Fozzie, Gonzo, Rowlf, Scooter, Camillia, Dr. Teeth, Floyd, Animal, Janice, and Zoot are college graduates who decide to bring their successful college musical, Manhattan Melodies, to Broadway. Unfortunately, no producer will even meet with the Muppets. After being denied by too many producers, Scooter suggests that the Muppets decide to move on on their own. However, Kermit still believes that he can get his show on Broadway, but after he finally does and let's everybody know that he sold the show, Kermit get's amnesia and the others don't know where he is.<br /><br />This features many great scenes, including a live action sequence that introduced the Muppet Babies, a wedding sequence filled with Muppets, including the Sesame Street cast and Traveling Matt (from Fraggle Rock), Scooter as a movie theatre usher, and a scene where Rizzo and the other rats cook breakfast.<br /><br />My only complaint is that more characters weren't included more. Sure, many of them appear at the wedding, but there should have been some significant roles for Bunsen, Beaker, Beauregard, and Sweetums, and Lips should have been part of The Electric Mayhem in this movie like he was in The Muppet Show's last season and The Great Muppet Caper, and Miss Piggys dog Foo Foo should have been with her as well (after all, Rizzo The Rat, also performed by Steve Whitmire, had a big part in this movie, and he wasn't very well-known at the time).",1
"I found Code 46 very disappointing. I thought the concept was good and therefore had great potential as a movie but found that it didn't deliver. Code 46 lacked thought and structure and the storyline didn't flow well. I thought that Tim Robbins character wasn't well developed, for eg. I thought there should have been more info and thought put into his family life and not have it completely ignored as i felt it was. When they were first in violation of a code 46 it was suggested that they were not to know that they may have been genetically linked but all the technology was available to them, he took her fingerprint and therefore genetic details when he was investigating the fraud. I constantly found myself waiting for something to happen and the story line to develop and yet it never did. I felt that the film had great potential to be intellectually stimulating but turned out to be the opposite. Code 46 tried to be too clever and in the end just ended up lacking imagination.I would not recommend this film to anybody, the only good thing about the film was that it was relatively short.",0
"Recognizing the picture of the diner on the cover of the DVD made me realize that this was a local movie. The word Detroit in the title furthered my suspecions and I did some looking up of things and yes, a local movie it was.<br /><br />So I picked it up. Someone I knew actually knew some of the producers/director (dont remember which) and said the producers/directors got people to PAY to be in this movie.<br /><br />Brilliant! What a great idea. The movie makers get some capital to do the movie with, thanks to their cast and crew. Then the investors (cast, crew, others) get some of the profits, I'm imagining.<br /><br />Profits!<br /><br />Um anyways. This film totally underwhelmed me. The special effects were special as in special children who ride the small buses to school. The acting was very amusing, not intentionally however. There's a great line where a guy says ""well? this bone aint gonna smoke itself!"" as a pickup line. Unfortunately that is the only fun part of the whole film. The story? Well, I sort of followed it about 3/5 of the way in, then everything stopped making sense and as we were sitting there watching it, it suddenly ended. I mean as in,..no resolution of anything..like they ran out of time. ""Sorry folks, out of time, goodnight!""<br /><br />We sat there baffled and booing, and threw in another film. Then about 20 minutes later a neighbor of mine showed up..with one of the guys from the movie! We threw it back in and he (the actor) gave us a running commentary, which was awesome because he totally ripped on the movie!<br /><br />What more could you ask for??<br /><br />The most absurd scene for me was a motorbike chase scene were it was so dark that it could have literally been a guy running past with a flashlight and not a motorbike at all. That and the jaw droppingly in your face sudden ending is enough to make you howl. In pain! The zombies looked less like zombies than my coworkers do. And I dont work at the morgue either.<br /><br />So, I recommend seeing this if you can get someone from the movie to come over and give you a running commentary as to all the things that went on behind the scenes and make sure this person hates the movie because that just adds to the fun.<br /><br />Otherwise, give this one a pass. Rent something like Feeders if you want a jaw droppingly bad in a funny way movie...",0
"I went into this film with expectations, from the hype, that it would be insightful and uplifting. Certainly something more than a cheap promotional for the band ""Wilco.""<br /><br />Instead we get a lot of moping and whining about ""the process,"" a dishonorable and no doubt one-sided portrayal of one band members who was kicked out by the prima donna lead singer/songwriter, a gut-wrenching confession by the fallen member's friend -- for like 18 years -- saying the ""friendship had run its course,"" and this whiny, uncompelling story about how one record label ""hurt their feelings"" by dumping them, only so that the band could immediately get 50 offers from other labels (oh, the tension...not!) They tried their best to make it look like it was a strain, but I suspect it was all smoke and mirrors to generate a tragedy that didn't exist. This doesn't even take into account the long stretches where we get many of their newest songs shoved at us in full without any storyline, insight or even a decent job at cinematography. The strained attempts at emotional sincerity or reasonable perspective on life made me sick to watch.<br /><br />From the film, this band sounds like a bunch of vile little babies who poke around to find a voice they don't have and think they're some kind of guardians for the art of music, which they most definitely are not. And I thought the music sucked, and I couldn't even understand the lyrics due to the mumbling style of the lead singer.<br /><br />I give it a 2/10.",0
"I have to admit, I don't remember much about the characters or the story, though I'm not sure there was one, I was soooo irritated by this movie that I had a bit of a hard time focusing on it. How can you name a movie ""Keys to Tulsa"" and then film it in Texas? The flat desert country around Arlington ( I think that was the location) in no way resembles the green rolling hills around Tulsa, and a celebrity in Tulsa would have a much nicer neighborhood to live in. Obviously no one in the movie has EVER BEEN to Tulsa or else they would have realized how nothing in the movie even resembled it. Hadn't anyone at least seen Rumblefish or The Outsiders? I know this sounds picky but I can't help it. I watched this because I love James Spader and I usually find Eric Stotz interesting. But even these two intriguing actors could not liven up this meandering,and mean story of self-involved people who are NOT IN TULSA!! I'm sorry, it can't be more expensive to film in Oklahoma. What if ""To Live and Die in LA"" had been shot in Toronto? Would that suck? Well so does this.",0
"To be honest at the time i first heard of this show i though it may be a bad idea to make a show that makes Muslims use racial jokes on themselves but it is the Exact opposite. I realized that the show doing that can help people understand that if a Muslim uses s a word like this in real life it doesn't mean it is a terrorist thing. It also show's how people give the Muslims a bad name because they play on their stereotype, by watching the show regular people will realize that all though there may be bad Muslims out it doesn't mean we are all bad we just try to live 1 day at a time, like how hard it was for Amair to get on a plane and how he used words like ""Blow up"" or Yaser saying we'll blow away the competition, and people took it the wrong way. Being a Muslim i know that stuff like this don't usually happen, but they do and many people think bad things about Muslims or Afghanistan or Iraq, its not right things are not like that. people will see how we are poorly treated by watching this show and it may make them think on how the act. I am glad a show like this came on the air. There are many shows that Piotr Muslim people as terrorists,many people do find them funny to my opioion it is OK to do it now and then because prety much everything is made fun of who are we to say you can not make fun of that is unfair, but it is done to often and really gives Muslin people a bad name.",0
